iter	Passed	Remaining
237	508	1628
238	509	1622
239	510	1616
240	511	1609
241	511	1603
242	513	1598
243	515	1595
244	515	1589
245	516	1583
246	517	1576
247	517	1570
248	518	1564
249	519	1559
250	522	1558
251	523	1552
252	524	1547
253	524	1541
254	525	1535
255	526	1529
256	528	1526
257	530	1525
258	531	1520
259	532	1515
260	533	1509
261	534	1504
262	535	1501
263	537	1499
264	538	1494
265	539	1488
266	540	1483
267	541	1477
268	542	1473
269	546	1477
270	548	1475
271	551	1474
272	552	1472
273	554	1469
274	555	1463
275	555	1458
276	557	1454
277	559	1452
278	560	1447
279	561	1443
280	562	1438
281	562	1433
282	563	1428
283	566	1427
284	567	1422
285	568	1418
286	569	1414
287	570	1410
288	574	1412
289	575	1408
290	576	1403
291	576	1398
292	577	1393
293	579	1390
294	580	1387
295	581	1383
296	582	1379
297	583	1374
298	584	1370
299	588	1373
300	589	1369
301	590	1364
302	591	1360
303	592	1355
304	593	1353
305	596	1352
306	597	1348
307	598	1344
308	598	1339
309	599	1334
310	605	1341
311	607	1338
312	608	1336
313	611	1334
314	612	1331
315	613	1328
316	615	1325
317	617	1325
318	619	1322
319	620	1318
320	621	1314
321	622	1310
322	625	1311
323	626	1307
324	627	1303
325	628	1299
326	630	1296
327	632	1294
328	633	1291
329	634	1287
330	635	1283
331	635	1279
332	637	1277
333	641	1278
334	642	1274
335	643	1271
336	646	1271
337	648	1269
338	649	1265
339	650	1262
340	651	1259
341	652	1256
342	653	1252
343	655	1249
344	656	1245
345	656	1241
346	657	1237
347	658	1234
348	661	1232
349	661	1229
350	662	1225
351	663	1221
352	664	1217
353	664	1213
354	666	1211
355	669	1211
356	671	1208
357	672	1205
358	673	1203
359	675	1200
360	676	1197
361	677	1193
362	678	1190
363	680	1188
364	685	1193
365	686	1189
366	689	1188
367	690	1186
368	691	1183
369	692	1179
370	693	1175
371	694	1172
372	695	1169
373	697	1168
374	698	1164
375	699	1161
376	700	1158
377	701	1154
378	704	1154
379	705	1150
380	706	1147
381	706	1143
382	707	1139
383	708	1136
384	709	1133
385	713	1134
386	713	1130
387	714	1126
388	715	1123
389	715	1119
390	716	1116
391	718	1114
392	719	1111
393	720	1108
394	721	1104
395	722	1101
396	722	1097
397	723	1094
398	725	1092
399	727	1091
400	728	1088
401	729	1085
402	730	1081
403	730	1078
404	731	1074
405	732	1071
406	734	1070
407	735	1066
408	736	1063
409	736	1060
410	737	1057
411	738	1054
412	740	1051
413	741	1049
414	742	1046
415	743	1043
416	744	1040
417	745	1037
418	745	1034
419	747	1032
420	749	1030
421	750	1027
422	750	1024
423	751	1021
424	753	1018
425	756	1018
426	757	1016
427	757	1012
428	758	1009
429	759	1006
430	760	1003
431	763	1004
432	766	1003
433	767	1000
434	769	998
435	770	997
436	772	994
437	773	992
438	774	989
439	775	986
440	777	985
441	778	982
442	779	980
443	780	977
444	781	974
445	781	971
446	783	968
447	784	967
448	785	964
449	786	961
450	787	958
451	788	955
452	788	952
453	789	949
454	791	948
455	793	946
456	794	944
457	795	941
458	796	938
